"STATE","YEAR","AGI","marriage_rate","elder_rate","tax","charity","add_med","edu","retire","child","population","growth_rate"
"AK",2014,13642241.2430981,0.357322847727965,0.245959555172803,206543.195497466,180401.827887464,4520.98625148838,1173.86214105724,1604.70135408302,4688.69285298923,722260,0.0078789868431021
"AK",2015,14091948.326823,0.357975955499731,0.193432621568276,214287.498930282,185457.008074646,5105.9857831026,1179.19101712929,1644.22511007743,4872.14049883366,724490,0.00846804307499578
"AK",2016,13242795.7368247,0.36385182206007,0.205188238842845,220658.410247203,180550.277883911,4764.45513437424,1175.4179749781,1873.20694063402,4680.68326175326,696190,0.00834184346708586
"AK",2017,13429334.3208234,0.360487602240335,0.211614215524774,236631.057684319,190274.523570784,4518.53769463265,1079.01418114624,1916.60824225409,4708.31492171721,698110,0.0146881798805067
"AK",2018,14190593.9876359,0.360105445636757,0.219544692617373,83119.0124213814,125672.262310348,4983.95012822533,1085.832862935,2144.5651513632,4659.9573059786,697990,0.0159982259393018
"AK",2019,14685014.735648,0.350940909218386,0.220167148105561,78483.6205092969,120829.929032168,5173.32024567406,1119.87493339316,2323.25551785063,4628.05642650812,713140,0.0169118616228493
"AK",2020,14688441.2900729,0.342966307745745,0.226842653699201,69138.4801667246,117438.789899271,6105.61014241056,994.444223688781,2320.61872872525,3443.23683223341,719750,0.0178301748916062
"AK",2021,16368260.6170295,0.346893269107074,0.233887451580166,66149.1017995741,138519.944011664,6915.38784465631,881.975343405612,2342.95118708995,622.247480739269,699610,0.0215910272037494
"AL",2013,58321813.6098095,0.376162305428241,0.236779718280019,1653351.69881585,1661784.62261499,17846.0822314312,7393.32377619306,12318.0976068101,29663.8487013906,4097460,0.295213423890432
"AL",2014,60508804.6413314,0.374245988991256,0.236901294175145,1618436.01143141,1709323.39685716,19131.8577829572,7068.07740568907,12979.5031162124,29681.6478447928,4093110,0.314704864753705
"AL",2015,62606784.1026181,0.371631820350768,0.232371529569866,1699573.92929866,1842210.50681426,22255.2091874495,6948.67284470586,13566.2147820117,30417.7553194597,4107560,0.337535019812887
"AL",2016,63584939.033353,0.371281642279247,0.23888498809783,1771614.92755456,1927243.04445515,22721.034439228,7148.86849142139,14700.1755453836,30861.8087775138,4087490,0.360680255433188
"AL",2017,66442358.1450376,0.368060275355846,0.244591917975804,1868832.21141523,2103503.87927938,25187.9174854846,6849.68420490514,14961.8028137561,31478.741970406,4119760,0.572793510384353
"AL",2018,69551977.7018085,0.366812703508036,0.249994544832987,590536.253813162,1358506.90618325,26863.2095414508,6700.54130773688,17479.9789818476,32761.2629438991,4124530,0.645297140285955
"AL",2019,72489879.3764087,0.353388999188011,0.246262737201782,577410.797181036,1343857.70227686,28071.7538499087,6959.86398944883,18532.2272631268,32724.0007040369,4261140,0.728143669069737
"AL",2020,76155242.6681732,0.339920244961903,0.25083894110945,539251.522221926,1382248.18813866,32983.6046873887,6981.52553095848,17969.9129236986,25676.3101144698,4493760,0.84252371291335
"AL",2021,85818234.5537727,0.346501277412344,0.255389986474458,530307.121040889,1714502.94988151,38187.6487566905,6781.68098909864,18545.7604129337,5417.59564870583,4325150,1.02364537234656
"AR",2013,34436218.2777468,0.406136548027831,0.211939814672427,1323592.32954033,800536.048273686,10846.2939240963,4607.57884169378,8650.18027748867,15465.5181318276,2440460,0.225319266836258
"AR",2014,36326154.0975232,0.402200883787286,0.211992263136319,1304662.05038242,871605.358195471,11832.4948881776,4497.60542290571,9067.63223084753,15571.5241079349,2446290,0.238549157880033
"AR",2015,37156922.9589212,0.399198600602067,0.235094784801888,1331694.8549101,1146311.15880726,12903.9645106175,4531.31242779269,9475.47781303393,15990.3445407209,2458200,0.250324877764085
"AR",2016,37870470.2913805,0.399883752343373,0.240423894623955,1347743.79075831,1295351.83360212,13587.0908655539,4616.98566961106,10226.8232421635,16315.7819169402,2443060,0.261991313870741
"AR",2017,40889435.3671273,0.395876924075065,0.244250077044102,1455951.48719446,1528948.51579404,14932.1963813602,4501.09102557864,10348.5195975865,16743.1632321217,2466120,0.283218421441705
"AR",2018,42179227.4597699,0.39392849057214,0.248536498593098,337278.101842718,1340865.36659497,15137.0463024354,4402.14236796145,11948.350961383,17181.2876224975,2473520,0.317972688921227
"AR",2019,42294029.3081322,0.378792581671452,0.243644758283542,320167.33973384,842404.619352836,16860.1717506014,4569.98847675952,12769.1312873438,17099.7560603709,2577400,0.360923681834385
"AR",2020,45906435.772997,0.365606754626786,0.248277673768102,286087.341849383,1808428.99697714,18654.7421061589,4641.2214345442,11802.7787467533,13213.6552054582,2702740,0.425103426398735
"AR",2021,54692108.5438815,0.370627818987976,0.251808551743134,281513.982861318,2687049.28413486,23406.9528762763,4548.05214290906,12170.1674694048,2025.59078336783,2613970,0.516695145847457
"AZ",2013,85689832.2855848,0.37467079893234,0.255624624341311,3031321.81960137,1655204.53772706,35734.7774351994,10048.9133574777,15199.8045638552,32609.1049214005,5627260,0.593643200980958
"AZ",2014,90622269.7532672,0.371466171886805,0.255636591544785,3049985.07996071,1751283.54301387,39581.791726845,9744.40686682761,16741.5200389358,32907.2722554301,5691420,0.600655928590968
"AZ",2015,95820490.9191313,0.368095202851679,0.249301624293664,3307114.76870038,1852137.78276083,44970.9864610639,9515.16795785133,17831.1746756834,34525.1254597748,5809910,0.615630882983466
"AZ",2016,99339679.1815786,0.368617068249903,0.256074696519914,3566974.98998363,2006030.04236154,47857.8796659851,9727.81720377151,19693.6732180098,36046.9978618834,5888360,0.616965492868033
"AZ",2017,108156528.614968,0.365771329246127,0.261564108882645,3932562.51823614,2213406.30084793,53781.1352681133,9341.52022406314,20316.9972810762,37247.7641647827,6046510,0.627037824516632
"AZ",2018,117029854.113349,0.363029658620456,0.266056602493043,1244065.34004156,1687272.33735752,58876.0145933857,9219.57901370624,23978.8617450011,37903.2500541334,6188420,0.640167666308438
"AZ",2019,125611111.203763,0.349374913530845,0.260537074172671,1248170.95471373,1638779.76123111,65420.3548085972,9714.40080486629,25817.3753118591,38204.6774301443,6577490,0.679972985267341
"AZ",2020,133621314.887537,0.336384462569933,0.264078930399767,1124965.66897977,1677712.00974313,77024.0057511154,8772.85307776685,24043.1839530985,26833.3919104744,6901270,0.738652731123629
"AZ",2021,155402562.034099,0.339611092172934,0.269235671621882,1069237.38862771,2169627.11569267,101365.304643476,7979.56643595026,24141.8279305183,7984.74077455499,6747100,0.824281803695833
"CA",2013,651033981.746413,0.361135003712493,0.220693149299838,51425753.7914255,14241472.309651,558086.236498901,51370.0363856334,74864.4160868869,216053.104011531,34343500,0.597210519781244
"CA",2014,707070132.223346,0.35845757421644,0.220807911314384,53843296.9195659,15327345.1004612,621708.056143947,51204.4334199337,83036.5970850715,219334.072642616,34822810,0.637798004617966
"CA",2015,758415735.378089,0.354713180926608,0.211173152271869,59931872.2013121,16747483.49718,727389.336217389,51748.8448018451,86759.6673364409,230487.738584487,35519430,0.677461083017753
"CA",2016,777108572.789048,0.35316807299039,0.215479588755547,62617590.4451927,19359454.0699099,739003.508866182,53840.9114204075,92815.9275035163,235184.957522083,35634280,0.699606308649576
"CA",2017,835161583.641222,0.350344034638005,0.219244833817195,70306054.5217097,18584849.1797762,847161.561283527,52118.1747906468,94115.1548665562,240328.052626374,36198390,0.717488647222201
"CA",2018,890408509.42832,0.348303652385186,0.22366045098022,16178191.976459,16729025.3711621,936775.560375989,51640.4237642169,105541.106811525,237858.359147359,36351040,0.74395895893758
"CA",2019,906133302.19358,0.33764483135289,0.223121564983379,15496539.4337145,15140042.1445945,995165.649221629,53283.1507480047,109749.248194638,236538.258930507,37277840,0.778966747209757
"CA",2020,968631140.960351,0.32383074407718,0.228617192763122,14213398.3052218,18379584.9962604,1172866.68766093,50755.6750854883,100978.236342393,172126.309731027,39113550,0.829706278634173
"CA",2021,1152235188.78127,0.327773518180102,0.23530542820288,13880719.2090006,22685772.4454576,1565497.79372824,47651.5160456403,97596.5714107017,78813.9822404433,37653530,0.891094239835286
"CO",2013,91408892.9085557,0.391466852048287,0.24592409195067,3802208.79249444,1783296.09669609,44450.362652795,8520.35913693669,11283.7308230904,30906.7317659797,5005890,0.539055095924797
"CO",2014,99800358.3638519,0.38759424263194,0.246508339839316,3876016.6572721,1884060.09321257,53841.3167374914,8352.82197591305,12085.6398922941,31263.8558464702,5106500,0.564661379547897
"CO",2015,104992019.279262,0.383050465375739,0.217786676040409,4166104.40213928,2090538.29029436,58454.9770082224,8242.6098198866,12763.9642466874,32227.5982771928,5234480,0.582886234737848
"CO",2016,108141461.914686,0.381124867163596,0.222289335147899,4475248.80910253,2292011.71289027,59988.4201782981,8538.58507098136,13901.2533546501,32977.5175495057,5297870,0.583262502183152
"CO",2017,116651656.774586,0.376798059228886,0.226110150181349,4968487.18955859,2405050.50327054,71104.9435912739,8134.3420111738,13717.7464305911,33421.0351405567,5428770,0.598991225091861
"CO",2018,126598249.239487,0.373488246791169,0.22989677860285,1556017.43409398,1977897.84784201,77908.2911732959,8099.01010879018,14927.9897700707,33370.3994102151,5530830,0.607410137307203
"CO",2019,132811590.139165,0.361631754951266,0.22755718958515,1596910.6770366,1861870.39300269,88012.8245605789,8373.44341795355,15586.262442793,33294.4684628226,5744490,0.717698868240251
"CO",2020,138010631.3995,0.35315365663326,0.233567215192893,1505493.86015478,1880208.97661806,100374.848965592,7607.14467563801,14844.3058479552,24612.2882284386,5869060,0.778666212030802
"CO",2021,167307932.050441,0.351173756613757,0.238494814814815,1423795.69856169,2704521.16730751,128170.336946455,6989.03208126984,14469.9153642328,7748.86427767196,5906250,0.853508893669188
"CT",2013,84810958.4548198,0.361030061070927,0.184766129381662,7327085.33916798,1746276.62709869,107284.595757328,8611.44914995099,6896.86803307032,23639.7382837841,3499210,0.302212111938813
"CT",2014,89466382.9206531,0.358948710180798,0.184578914090041,7344956.07707477,1795825.15812789,114094.061261411,8403.53518208372,7347.8983034862,23787.5142986162,3498940,0.317423560004759
"CT",2015,91384894.5221585,0.355222549991057,0.25226212547521,7718766.88336035,1839248.08807455,124907.875958582,8391.41527428005,7674.17515821392,24680.5542867526,3522130,0.342078826499121
"CT",2016,89088269.6297799,0.353927716337932,0.257365180709155,7711297.79129803,1763392.10591723,119826.56811367,8520.93320316954,8314.84322198153,25355.629868316,3508400,0.359604586190171
"CT",2017,95168785.2245702,0.351353417304377,0.263455609441222,8315024.6524686,2047473.85870442,126976.310774963,8152.33910598867,8526.23973647927,25733.8339519332,3532170,0.393470640442527
"CT",2018,97356925.5790682,0.349803103418057,0.270903123489352,1444592.47281753,1384467.22954777,130444.630699471,7949.87546467876,9456.18123531756,25855.7557634301,3537390,0.585172981095883
"CT",2019,98285575.9270686,0.341321003447574,0.270708438892651,1314119.11094389,1473091.20219173,134887.756256219,8052.69719595433,9906.19207475969,26097.4640345817,3588030,0.706130320082654
"CT",2020,102912958.714206,0.329739807956695,0.276025257811008,1148193.11298485,1512154.52608243,145751.982452978,7687.73166400762,9486.89251709099,19150.9972880407,3716870,0.810876937730932
"CT",2021,121839795.779322,0.331221960474221,0.282289727580735,1076694.21584051,1705692.28375863,171296.184697077,7151.35085306053,9390.75801305811,8317.59456149888,3642180,0.93296899551182
"DC",2013,15001865.8771032,0.163932940643407,0.272915986952101,1095154.22146201,434402.098142275,17771.3897900619,937.373991844132,866.664597492826,5192.91190152545,662100,0.120326635177328
"DC",2014,16367180.8471287,0.165529010238908,0.273052607328907,1093876.77392788,463361.230790919,19883.3461789583,934.848360290844,912.891615966761,5382.10412524113,673900,0.134103101480222
"DC",2015,17641540.5525144,0.16638382431864,0.175014142117401,1209392.47398576,530131.235368348,21978.7240474015,898.641587978475,949.785678023875,5677.33349288543,689430,0.150200162222978
"DC",2016,17548889.4774225,0.166861007462687,0.173857276119403,1224132.26147097,490673.770391208,23478.417473181,913.038289995336,1004.1218516791,5600.5870598181,686080,0.167614154953451
